      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.685          2.087          6.416         -0.578
          0.689          2.133          6.417         -0.568
          0.693          2.178          6.418         -0.557
          0.697          2.220          6.419         -0.546
          0.701          2.262          6.420         -0.535
          0.705          2.300          6.421         -0.523
          0.709          2.336          6.423         -0.512
          0.713          2.370          6.424         -0.500
          0.717          2.400          6.425         -0.487
          0.721          2.428          6.426         -0.475
          0.725          2.453          6.428         -0.462
          0.729          2.475          6.429         -0.449
          0.734          2.494          6.430         -0.435
          0.738          2.509          6.432         -0.422
          0.742          2.520          6.433         -0.407
          0.747          2.528          6.435         -0.393
          0.751          2.532          6.436         -0.378
          0.756          2.532          6.438         -0.363
          0.761          2.529          6.439         -0.348
          0.765          2.521          6.441         -0.332
          0.770          2.509          6.442         -0.316
          0.775          2.494          6.444         -0.299
          0.780          2.475          6.446         -0.282
          0.785          2.452          6.447         -0.265
          0.790          2.426          6.449         -0.248
          0.795          2.396          6.451         -0.230
          0.800          2.364          6.453         -0.211
          0.805          2.329          6.454         -0.192
          0.810          2.291          6.456         -0.173
          0.816          2.253          6.458         -0.154
          0.821          2.213          6.460         -0.134
          0.827          2.172          6.462         -0.113
          0.832          2.131          6.464         -0.093
          0.838          2.091          6.466         -0.072
          0.843          2.052          6.468         -0.050
          0.849          2.014          6.470         -0.028
          0.855          1.978          6.473         -0.005
          0.861          1.945          6.475          0.018
          0.867          1.915          6.477          0.042
          0.918          1.826          6.498          0.248
          0.925          1.835          6.500          0.277
          0.932          1.849          6.503          0.305
          0.939          1.867          6.506          0.335
          0.946          1.890          6.509          0.364
          0.954          1.916          6.512          0.395
          0.961          1.946          6.516          0.426
          0.969          1.980          6.519          0.458
          0.976          2.017          6.522          0.490
          0.984          2.056          6.526          0.523
          0.992          2.098          6.529          0.557
          1.000          2.143          6.533          0.591
          1.008          2.190          6.536          0.626
          1.016          2.237          6.540          0.661
          1.025          2.291          6.544          0.700
          1.033          2.340          6.548          0.735
          1.042          2.395          6.552          0.774
          1.051          2.450          6.557          0.813
          1.060          2.505          6.561          0.853
          1.069          2.560          6.565          0.892
          1.078          2.615          6.570          0.932
          1.088          2.675          6.575          0.976
          1.097          2.728          6.580          1.016
          1.107          2.787          6.585          1.060
          1.117          2.845          6.590          1.104
          1.127          2.901          6.595          1.149
          1.137          2.957          6.600          1.193
          1.148          3.017          6.606          1.242
          1.159          3.076          6.612          1.291
          1.170          3.134          6.618          1.340
          1.181          3.190          6.625          1.389
          1.192          3.245          6.631          1.438
          1.204          3.303          6.638          1.491
          1.216          3.360          6.645          1.545
          1.228          3.415          6.652          1.598
          1.240          3.469          6.659          1.652
          1.252          3.521          6.666          1.705
          1.265          3.577          6.674          1.763
          1.278          3.630          6.682          1.821
          1.291          3.683          6.690          1.878
          1.305          3.738          6.699          1.940
          1.319          3.791          6.708          2.002
          1.333          3.842          6.717          2.064
          1.348          3.896          6.727          2.130
          1.362          3.945          6.737          2.192
          1.378          3.999          6.748          2.262
          1.393          4.048          6.758          2.328
          1.409          4.099          6.770          2.398
          1.425          4.149          6.781          2.468
          1.442          4.200          6.794          2.542
          1.459          4.249          6.807          2.616
          1.476          4.298          6.820          2.690
          1.494          4.347          6.834          2.768
          1.512          4.396          6.848          2.845
          1.531          4.445          6.863          2.927
          1.550          4.494          6.879          3.009
          1.569          4.541          6.895          3.091
          1.590          4.591          6.913          3.181
          1.610          4.638          6.930          3.266
          1.631          4.686          6.949          3.356
          1.653          4.736          6.969          3.450
          1.675          4.784          6.990          3.545
          1.698          4.833          7.011          3.643
          1.722          4.883          7.035          3.746
          1.746          4.932          7.059          3.849
          1.771          4.982          7.085          3.957
          1.797          5.032          7.112          4.069
          1.823          5.082          7.140          4.182
          1.851          5.135          7.171          4.304
