      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          2.440         -9.398        -12.605         -9.531
          2.450         -9.314        -12.494         -9.446
          2.460         -9.230        -12.385         -9.361
          2.470         -9.147        -12.277         -9.277
          2.480         -9.066        -12.170         -9.195
          2.490         -8.985        -12.064         -9.113
          2.500         -8.905        -11.960         -9.032
          2.510         -8.827        -11.857         -8.952
          2.520         -8.749        -11.755         -8.874
          2.530         -8.672        -11.654         -8.796
          2.540         -8.596        -11.555         -8.719
          2.550         -8.521        -11.457         -8.643
          2.560         -8.447        -11.360         -8.568
          2.570         -8.373        -11.264         -8.493
          2.580         -8.301        -11.169         -8.420
          2.590         -8.229        -11.075         -8.347
          2.600         -8.158        -10.982         -8.276
          2.610         -8.088        -10.891         -8.205
          2.620         -8.019        -10.800         -8.135
          2.630         -7.951        -10.710         -8.065
          2.640         -7.883        -10.622         -7.997
          2.650         -7.816        -10.534         -7.929
          2.660         -7.750        -10.448         -7.862
          2.670         -7.685        -10.362         -7.796
          2.680         -7.620        -10.278         -7.730
          2.690         -7.556        -10.194         -7.666
          2.700         -7.493        -10.111         -7.601
          2.710         -7.430        -10.029         -7.538
          2.720         -7.368         -9.948         -7.476
          2.730         -7.307         -9.868         -7.414
          2.740         -7.247         -9.789         -7.352
          2.750         -7.187         -9.711         -7.292
          2.760         -7.128         -9.633         -7.232
          2.770         -7.069         -9.557         -7.172
          2.780         -7.011         -9.481         -7.114
          2.790         -6.954         -9.406         -7.056
          2.800         -6.897         -9.332         -6.998
          2.810         -6.841         -9.258         -6.941
          2.820         -6.786         -9.186         -6.885
          2.830         -6.731         -9.114         -6.830
          2.840         -6.676         -9.043         -6.775
          2.850         -6.623         -8.972         -6.720
          2.860         -6.570         -8.903         -6.666
          2.870         -6.517         -8.834         -6.613
          2.880         -6.465         -8.766         -6.560
          2.890         -6.413         -8.698         -6.508
          2.900         -6.362         -8.631         -6.456
          2.910         -6.312         -8.565         -6.405
          2.920         -6.262         -8.500         -6.355
          2.930         -6.212         -8.435         -6.304
          2.940         -6.163         -8.371         -6.255
          2.950         -6.115         -8.308         -6.206
          2.960         -6.067         -8.245         -6.157
          2.970         -6.019         -8.183         -6.109
          2.980         -5.972         -8.121         -6.061
          2.990         -5.926         -8.060         -6.014
          3.000         -5.880         -8.000         -5.968
          3.010         -5.834         -7.940         -5.921
          3.020         -5.789         -7.881         -5.876
          3.030         -5.744         -7.823         -5.830
          3.040         -5.700         -7.765         -5.786
          3.050         -5.656         -7.707         -5.741
          3.060         -5.613         -7.651         -5.697
          3.070         -5.570         -7.594         -5.654
          3.080         -5.527         -7.539         -5.611
          3.090         -5.485         -7.483         -5.568
          3.100         -5.443         -7.429         -5.526
          3.110         -5.402         -7.375         -5.484
          3.120         -5.361         -7.321         -5.442
          3.130         -5.320         -7.268         -5.401
          3.140         -5.280         -7.215         -5.360
          3.150         -5.240         -7.163         -5.320
          3.160         -5.201         -7.112         -5.280
          3.170         -5.162         -7.061         -5.241
          3.180         -5.123         -7.010         -5.201
          3.190         -5.085         -6.960         -5.163
          3.200         -5.047         -6.910         -5.124
          3.210         -5.009         -6.861         -5.086
          3.220         -4.972         -6.812         -5.048
          3.230         -4.935         -6.764         -5.011
          3.240         -4.899         -6.716         -4.974
          3.250         -4.862         -6.669         -4.937
          3.260         -4.826         -6.622         -4.901
          3.270         -4.791         -6.575         -4.865
          3.280         -4.756         -6.529         -4.829
          3.290         -4.721         -6.483         -4.794
          3.300         -4.686         -6.438         -4.759
          3.310         -4.652         -6.393         -4.724
          3.320         -4.618         -6.349         -4.690
          3.330         -4.584         -6.305         -4.655
          3.340         -4.551         -6.261         -4.622
          3.350         -4.518         -6.218         -4.588
          3.360         -4.485         -6.175         -4.555
          3.370         -4.452         -6.132         -4.522
          3.380         -4.420         -6.090         -4.489
          3.390         -4.388         -6.048         -4.457
          3.400         -4.357         -6.007         -4.425
          3.410         -4.325         -5.966         -4.393
          3.420         -4.294         -5.925         -4.362
          3.430         -4.263         -5.885         -4.331
          3.440         -4.233         -5.845         -4.300
          3.450         -4.202         -5.805         -4.269
          3.460         -4.172         -5.766         -4.239
          3.470         -4.143         -5.727         -4.208
          3.480         -4.113         -5.688         -4.178
          3.490         -4.084         -5.650         -4.149
          3.500         -4.055         -5.612         -4.119
          3.510         -4.026         -5.575         -4.090
          3.520         -3.998         -5.537         -4.061
          3.530         -3.969         -5.500         -4.033
          3.540         -3.941         -5.464         -4.004
          3.550         -3.914         -5.427         -3.976
          3.560         -3.886         -5.391         -3.948
          3.570         -3.859         -5.355         -3.921
          3.580         -3.832         -5.320         -3.893
          3.590         -3.805         -5.285         -3.866
          3.600         -3.778         -5.250         -3.839
          3.610         -3.752         -5.215         -3.812
          3.620         -3.725         -5.181         -3.786
          3.630         -3.699         -5.147         -3.759
          3.640         -3.674         -5.113         -3.733
          3.650         -3.648         -5.080         -3.707
          3.660         -3.623         -5.047         -3.682
          3.670         -3.598         -5.014         -3.656
          3.680         -3.573         -4.981         -3.631
          3.690         -3.548         -4.949         -3.606
          3.700         -3.523         -4.917         -3.581
          3.710         -3.499         -4.885         -3.556
          3.720         -3.475         -4.853         -3.532
