      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm
          0.629          5.684          0.359          8.250
          0.633          5.620          0.361          8.183
          0.636          5.560          0.363          8.117
          0.639          5.501          0.365          8.049
          0.642          5.445          0.367          7.982
          0.646          5.392          0.369          7.915
          0.649          5.341          0.371          7.847
          0.652          5.293          0.373          7.780
          0.656          5.246          0.375          7.712
          0.659          5.203          0.377          7.644
          0.663          5.162          0.379          7.577
          0.667          5.124          0.381          7.509
          0.670          5.088          0.384          7.441
          0.674          5.055          0.386          7.374
          0.677          5.025          0.388          7.306
          0.681          4.996          0.390          7.238
          0.685          4.970          0.393          7.170
          0.689          4.947          0.395          7.102
          0.693          4.926          0.397          7.035
          0.697          4.906          0.400          6.967
          0.701          4.889          0.402          6.898
          0.705          4.874          0.405          6.829
          0.709          4.862          0.407          6.761
          0.713          4.851          0.410          6.693
          0.717          4.841          0.412          6.625
          0.721          4.834          0.415          6.558
          0.725          4.828          0.418          6.488
          0.729          4.823          0.420          6.421
          0.734          4.819          0.423          6.353
          0.738          4.817          0.426          6.284
          0.742          4.814          0.429          6.216
          0.747          4.813          0.431          6.147
          0.751          4.811          0.434          6.079
          0.756          4.809          0.437          6.010
          0.761          4.807          0.440          5.942
          0.765          4.803          0.443          5.874
          0.770          4.799          0.446          5.804
          0.775          4.792          0.449          5.736
          0.780          4.784          0.452          5.667
          0.785          4.773          0.455          5.599
          0.790          4.759          0.459          5.531
          0.795          4.742          0.462          5.462
          0.800          4.721          0.465          5.393
          0.805          4.696          0.469          5.325
          0.810          4.667          0.472          5.256
          0.816          4.633          0.475          5.188
          0.821          4.594          0.479          5.119
          0.827          4.551          0.483          5.051
          0.832          4.502          0.486          4.983
          0.838          4.449          0.490          4.915
          0.843          4.390          0.494          4.846
          0.849          4.326          0.497          4.778
          0.855          4.257          0.501          4.709
          0.861          4.185          0.505          4.641
          0.867          4.108          0.509          4.573
          0.918          3.394          0.544          4.031
          0.925          3.300          0.548          3.963
          0.932          3.207          0.553          3.896
          0.939          3.114          0.558          3.829
          0.946          3.023          0.563          3.762
          0.954          2.933          0.568          3.695
          0.961          2.844          0.573          3.629
          0.969          2.758          0.578          3.562
          0.976          2.673          0.583          3.495
          0.984          2.592          0.589          3.430
          0.992          2.513          0.594          3.364
          1.000          2.436          0.600          3.298
          1.008          2.362          0.606          3.233
          1.016          2.293          0.611          3.170
          1.025          2.220          0.618          3.100
          1.033          2.158          0.624          3.039
          1.042          2.093          0.630          2.973
          1.051          2.031          0.637          2.907
          1.060          1.973          0.643          2.843
          1.069          1.919          0.650          2.781
          1.078          1.868          0.656          2.720
          1.088          1.815          0.664          2.653
          1.097          1.771          0.670          2.595
          1.107          1.725          0.678          2.532
          1.117          1.682          0.685          2.470
          1.127          1.641          0.693          2.410
          1.137          1.604          0.701          2.351
          1.148          1.566          0.709          2.288
          1.159          1.530          0.717          2.227
          1.170          1.498          0.726          2.168
          1.181          1.468          0.735          2.110
          1.192          1.440          0.743          2.054
          1.204          1.412          0.753          1.994
          1.216          1.386          0.762          1.937
          1.228          1.363          0.772          1.881
          1.240          1.341          0.782          1.827
          1.252          1.321          0.791          1.774
          1.265          1.302          0.802          1.720
          1.278          1.285          0.813          1.667
          1.291          1.269          0.824          1.616
          1.305          1.254          0.836          1.563
          1.319          1.240          0.848          1.512
          1.333          1.229          0.860          1.463
          1.348          1.218          0.873          1.413
          1.362          1.209          0.885          1.368
          1.378          1.200          0.899          1.319
          1.393          1.194          0.913          1.276
          1.409          1.188          0.928          1.231
          1.425          1.184          0.942          1.189
          1.442          1.181          0.958          1.147
          1.459          1.179          0.975          1.107
          1.476          1.179          0.991          1.069
          1.494          1.179          1.009          1.032
          1.512          1.181          1.026          0.997
          1.531          1.185          1.046          0.963
          1.550          1.189          1.065          0.932
          1.569          1.195          1.085          0.903
          1.590          1.203          1.107          0.874
          1.610          1.212          1.129          0.849
          1.631          1.222          1.152          0.826
          1.653          1.234          1.177          0.806
          1.675          1.247          1.202          0.788
          1.698          1.262          1.230          0.773
          1.722          1.280          1.259          0.761
          1.746          1.299          1.288          0.752
          1.771          1.320          1.320          0.748
          1.797          1.343          1.354          0.747
          1.823          1.369          1.390          0.752
          1.851          1.398          1.429          0.762
          1.879          1.428          1.469          0.778
          1.907          1.461          1.511          0.799
          1.937          1.499          1.558          0.830
          1.968          1.540          1.608          0.869
          2.000          1.586          1.662          0.918
          2.033          1.636          1.720          0.979
          2.066          1.690          1.782          1.051
          2.101          1.750          1.850          1.141
          2.138          1.819          1.927          1.250
          2.175          1.893          2.008          1.374
          2.214          1.977          2.100          1.524
          2.254          2.071          2.201          1.697
          2.296          2.178          2.315          1.899
          2.339          2.297          2.442          2.127
          2.384          2.433          2.588          2.386
          2.431          2.589          2.756          2.676
          2.480          2.769          2.951          2.995
          2.530          2.970          3.173          3.330
          2.583          3.202          3.439          3.685
          2.638          3.463          3.751          4.043
          2.695          3.748          4.116          4.390
          2.755          4.049          4.546          4.714
          2.818          4.343          5.032          4.998
          2.883          4.591          5.537          5.223
          2.952          4.763          6.007          5.385
          3.024          4.832          6.340          5.479
          3.100          4.810          6.470          5.516
          3.179          4.739          6.416          5.514
          3.263          4.664          6.284          5.500
          3.351          4.623          6.186          5.506
          3.444          4.631          6.186          5.555
          3.542          4.687          6.295          5.658
          3.647          4.783          6.498          5.814
          3.757          4.896          6.742          5.999
          3.874          5.001          6.967          6.185
          3.999          5.066          7.096          6.342
          4.133          5.057          7.053          6.441
          4.201          5.017          6.957          6.462
          4.301          4.914          6.738          6.460
