      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.820          0.228          2.873          0.002
          0.820          0.003          0.062          0.025
          0.820          0.172          0.310          0.012
          0.820          0.007          0.021          0.000
          0.820          0.011          0.000          0.000
          0.830          0.059          1.275          4.968
          0.830          0.231          2.848          0.002
          0.830          0.003          0.063          0.025
          0.830          0.174          0.315          0.013
          0.830          0.007          0.021          0.000
          0.830          0.011          0.000          0.000
          0.840          0.060          1.217          4.846
          0.840          0.234          2.804          0.003
          0.840          0.003          0.064          0.026
          0.840          0.177          0.319          0.013
          0.840          0.007          0.021          0.000
          0.840          0.011          0.000          0.000
          0.850          0.061          1.163          4.726
          0.850          0.237          2.745          0.003
          0.850          0.003          0.065          0.027
          0.850          0.179          0.323          0.013
          0.850          0.007          0.022          0.000
          0.850          0.011          0.000          0.000
          0.860          0.062          1.112          4.610
          0.860          0.241          2.670          0.003
          0.860          0.003          0.066          0.027
          0.860          0.181          0.328          0.013
          0.860          0.007          0.022          0.000
          0.860          0.011          0.000          0.000
          0.870          0.063          1.064          4.496
          0.870          0.244          2.584          0.003
          0.870          0.003          0.067          0.028
          0.870          0.183          0.332          0.013
          0.870          0.007          0.022          0.000
          0.870          0.011          0.000          0.000
          0.880          0.064          1.018          4.385
          0.880          0.247          2.488          0.003
          0.880          0.003          0.068          0.029
          0.880          0.185          0.336          0.014
          0.880          0.007          0.022          0.000
          0.880          0.012          0.000          0.000
          0.890          0.065          0.976          4.276
          0.890          0.250          2.386          0.003
          0.890          0.003          0.069          0.029
          0.890          0.187          0.341          0.014
          0.890          0.007          0.023          0.000
          0.890          0.012          0.000          0.000
          0.900          0.066          0.935          4.170
          0.900          0.254          2.279          0.003
          0.900          0.003          0.070          0.030
          0.900          0.189          0.345          0.014
          0.900          0.007          0.023          0.000
          0.900          0.012          0.000          0.000
          0.910          0.067          0.897          4.067
          0.910          0.257          2.171          0.003
          0.910          0.003          0.071          0.031
          0.910          0.192          0.349          0.014
          0.910          0.007          0.023          0.000
          0.910          0.012          0.000          0.000
          0.920          0.068          0.861          3.966
          0.920          0.260          2.061          0.003
          0.920          0.003          0.072          0.032
          0.920          0.194          0.354          0.014
          0.920          0.007          0.023          0.000
          0.920          0.012          0.000          0.000
          0.930          0.069          0.828          3.867
          0.930          0.264          1.954          0.003
          0.930          0.003          0.073          0.032
          0.930          0.196          0.358          0.015
          0.930          0.008          0.024          0.000
          0.930          0.012          0.000          0.000
          0.940          0.070          0.795          3.771
          0.940          0.267          1.848          0.003
          0.940          0.003          0.074          0.033
          0.940          0.198          0.363          0.015
          0.940          0.008          0.024          0.000
          0.940          0.012          0.000          0.000
          0.950          0.071          0.765          3.677
          0.950          0.270          1.746          0.003
          0.950          0.003          0.076          0.034
          0.950          0.200          0.367          0.015
          0.950          0.008          0.024          0.000
          0.950          0.012          0.000          0.000
          0.960          0.072          0.736          3.585
          0.960          0.274          1.648          0.003
          0.960          0.003          0.077          0.035
          0.960          0.203          0.372          0.015
          0.960          0.008          0.024          0.000
          0.960          0.013          0.000          0.000
          0.970          0.073          0.709          3.495
          0.970          0.277          1.555          0.003
          0.970          0.003          0.078          0.036
          0.970          0.205          0.376          0.016
          0.970          0.008          0.025          0.000
          0.970          0.013          0.000          0.000
          0.980          0.074          0.683          3.408
          0.980          0.281          1.466          0.003
          0.980          0.003          0.079          0.037
          0.980          0.207          0.381          0.016
          0.980          0.008          0.025          0.000
          0.980          0.013          0.000          0.000
          0.990          0.075          0.658          3.322
          0.990          0.284          1.382          0.003
          0.990          0.003          0.080          0.038
          0.990          0.209          0.385          0.016
          0.990          0.008          0.025          0.000
          0.990          0.013          0.000          0.000
          1.000          0.077          0.635          3.239
          1.000          0.288          1.304          0.003
          1.000          0.003          0.081          0.039
          1.000          0.211          0.390          0.017
          1.000          0.008          0.025          0.000
          1.000          0.013          0.000          0.000
          1.010          0.078          0.612          3.157
          1.010          0.291          1.229          0.003
          1.010          0.003          0.083          0.040
          1.010          0.213          0.395          0.017
          1.010          0.008          0.026          0.000
          1.010          0.013          0.000          0.000
          1.020          0.079          0.591          3.077
          1.020          0.295          1.160          0.003
          1.020          0.003          0.084          0.041
          1.020          0.216          0.399          0.017
          1.020          0.008          0.026          0.000
          1.020          0.013          0.000          0.000
          1.030          0.080          0.571          3.000
          1.030          0.298          1.095          0.004
          1.030          0.004          0.085          0.042
          1.030          0.218          0.404          0.017
          1.030          0.008          0.026          0.000
          1.030          0.013          0.000          0.000
          1.040          0.081          0.551          2.923
          1.040          0.302          1.034          0.004
          1.040          0.004          0.086          0.043
          1.040          0.220          0.409          0.018
          1.040          0.008          0.026          0.000
          1.040          0.014          0.000          0.000
          1.050          0.082          0.533          2.849
          1.050          0.305          0.977          0.004
          1.050          0.004          0.088          0.044
          1.050          0.222          0.413          0.018
          1.050          0.009          0.027          0.000
          1.050          0.014          0.000          0.000
          1.060          0.083          0.515          2.777
          1.060          0.309          0.924          0.004
          1.060          0.004          0.089          0.045
          1.060          0.224          0.418          0.018
          1.060          0.009          0.027          0.000
          1.060          0.014          0.000          0.000
          1.070          0.085          0.498          2.706
          1.070          0.313          0.874          0.004
          1.070          0.004          0.090          0.046
          1.070          0.227          0.423          0.018
          1.070          0.009          0.027          0.000
          1.070          0.014          0.000          0.000
          1.080          0.086          0.482          2.637
          1.080          0.316          0.828          0.004
          1.080          0.004          0.092          0.047
          1.080          0.229          0.428          0.019
          1.080          0.009          0.028          0.000
          1.080          0.014          0.000          0.000
          1.090          0.087          0.467          2.569
          1.090          0.320          0.785          0.004
          1.090          0.004          0.093          0.048
          1.090          0.231          0.433          0.019
          1.090          0.009          0.028          0.000
          1.090          0.014          0.000          0.000
          1.100          0.088          0.452          2.503
          1.100          0.324          0.745          0.004
          1.100          0.004          0.094          0.050
          1.100          0.233          0.437          0.019
          1.100          0.009          0.028          0.000
          1.100          0.014          0.000          0.000
          1.110          0.090          0.438          2.438
          1.110          0.328          0.707          0.004
          1.110          0.004          0.096          0.051
          1.110          0.236          0.442          0.020
          1.110          0.009          0.028          0.000
          1.110          0.015          0.000          0.000
          1.120          0.091          0.425          2.375
          1.120          0.331          0.672          0.004
          1.120          0.004          0.097          0.052
          1.120          0.238          0.447          0.020
          1.120          0.009          0.029          0.000
          1.120          0.015          0.000          0.000
          1.130          0.092          0.412          2.314
          1.130          0.335          0.639          0.004
          1.130          0.004          0.098          0.054
          1.130          0.240          0.452          0.020
          1.130          0.009          0.029          0.000
          1.130          0.015          0.000          0.000
          1.140          0.094          0.399          2.254
          1.140          0.339          0.608          0.004
          1.140          0.004          0.100          0.055
          1.140          0.242          0.457          0.021
          1.140          0.009          0.029          0.000
          1.140          0.015          0.000          0.000
          1.150          0.095          0.387          2.195
          1.150          0.343          0.579          0.004
          1.150          0.004          0.101          0.056
          1.150          0.244          0.462          0.021
          1.150          0.009          0.029          0.000
          1.150          0.015          0.000          0.000
          1.160          0.096          0.376          2.138
          1.160          0.347          0.552          0.004
          1.160          0.004          0.103          0.058
          1.160          0.247          0.467          0.021
          1.160          0.009          0.030          0.000
          1.160          0.015          0.000          0.000
          1.170          0.098          0.365          2.082
          1.170          0.351          0.526          0.005
          1.170          0.004          0.104          0.059
          1.170          0.249          0.472          0.022
          1.170          0.010          0.030          0.000
          1.170          0.015          0.000          0.000
          1.180          0.099          0.355          2.027
          1.180          0.354          0.502          0.005
          1.180          0.004          0.106          0.061
          1.180          0.251          0.477          0.022
          1.180          0.010          0.030          0.000
          1.180          0.015          0.000          0.000
          1.190          0.100          0.344          1.974
          1.190          0.358          0.480          0.005
          1.190          0.004          0.107          0.063
          1.190          0.253          0.482          0.022
          1.190          0.010          0.030          0.000
          1.190          0.016          0.000          0.000
          1.200          0.102          0.335          1.922
          1.200          0.362          0.459          0.005
          1.200          0.004          0.109          0.064
          1.200          0.256          0.488          0.023
          1.200          0.010          0.031          0.000
          1.200          0.016          0.000          0.000
          1.210          0.103          0.325          1.871
          1.210          0.366          0.439          0.005
          1.210          0.004          0.111          0.066
          1.210          0.258          0.493          0.023
          1.210          0.010          0.031          0.000
          1.210          0.016          0.000          0.000
          1.220          0.105          0.316          1.822
          1.220          0.370          0.420          0.005
          1.220          0.004          0.112          0.068
          1.220          0.260          0.498          0.024
          1.220          0.010          0.031          0.000
          1.220          0.016          0.000          0.000
          1.230          0.106          0.308          1.773
          1.230          0.374          0.403          0.005
          1.230          0.004          0.114          0.069
          1.230          0.262          0.503          0.024
          1.230          0.010          0.031          0.000
          1.230          0.016          0.000          0.000
          1.240          0.108          0.299          1.726
          1.240          0.379          0.386          0.005
          1.240          0.004          0.115          0.071
          1.240          0.265          0.508          0.024
          1.240          0.010          0.032          0.000
          1.240          0.016          0.000          0.000
          1.250          0.109          0.291          1.680
          1.250          0.383          0.370          0.005
          1.250          0.004          0.117          0.073
          1.250          0.267          0.514          0.025
          1.250          0.010          0.032          0.000
          1.250          0.016          0.000          0.000
