      freq (eV)         Mostep         Lor-Dr      Bren-Borm
          0.153          2.410          1.218          0.515
          0.153          0.093          0.658          1.793
          0.153          2.141          2.648          1.812
          0.153          0.244          2.015          0.174
          0.153          0.670          0.000          0.000
          0.155          0.764         12.416          2.619
          0.155          2.410          1.219          0.515
          0.155          0.093          0.658          1.794
          0.155          2.141          2.648          1.812
          0.155          0.244          2.015          0.174
          0.155          0.670          0.000          0.000
          0.157          0.764         12.442          2.416
          0.157          2.410          1.219          0.515
          0.157          0.093          0.658          1.794
          0.157          2.141          2.648          1.812
          0.157          0.244          2.015          0.174
          0.157          0.670          0.000          0.000
          0.159          0.764         12.467          2.219
          0.159          2.410          1.220          0.515
          0.159          0.093          0.658          1.794
          0.159          2.141          2.648          1.812
          0.159          0.244          2.015          0.174
          0.159          0.670          0.000          0.000
          0.161          0.764         12.493          2.028
          0.161          2.410          1.221          0.515
          0.161          0.093          0.659          1.794
          0.161          2.141          2.648          1.812
          0.161          0.244          2.015          0.174
          0.161          0.670          0.000          0.000
          0.163          0.764         12.519          1.843
          0.163          2.410          1.222          0.515
          0.163          0.093          0.659          1.794
          0.163          2.141          2.648          1.812
          0.163          0.244          2.015          0.174
          0.163          0.670          0.000          0.000
          0.165          0.764         12.545          1.664
          0.165          2.410          1.223          0.515
          0.165          0.093          0.659          1.794
          0.165          2.141          2.648          1.812
          0.165          0.244          2.015          0.174
          0.165          0.670          0.000          0.000
          0.166          0.764         12.572          1.490
          0.166          2.410          1.224          0.515
          0.166          0.093          0.659          1.794
          0.166          2.141          2.648          1.812
          0.166          0.244          2.015          0.174
          0.166          0.670          0.000          0.000
          0.168          0.764         12.599          1.321
          0.168          2.410          1.225          0.515
          0.168          0.093          0.659          1.794
          0.168          2.141          2.648          1.812
          0.168          0.244          2.015          0.174
          0.168          0.670          0.000          0.000
          0.170          0.765         12.627          1.148
          0.170          2.411          1.226          0.515
          0.170          0.093          0.659          1.794
          0.170          2.141          2.648          1.812
          0.170          0.244          2.015          0.174
          0.170          0.670          0.000          0.000
          0.172          0.765         12.654          0.990
          0.172          2.411          1.227          0.515
          0.172          0.093          0.659          1.794
          0.172          2.141          2.648          1.812
          0.172          0.244          2.015          0.174
          0.172          0.670          0.000          0.000
          0.174          0.765         12.681          0.835
          0.174          2.411          1.228          0.515
