      freq (eV)         re_eps         im_eps       re_aprox       im_aprox     kramers_re     kramers_im
          0.385         26.962         31.234          2.494          0.056          6.157         -0.769
          0.386         26.629         30.783          2.495          0.057          6.157         -0.773
          0.388         26.273         30.372          2.496          0.057          6.158         -0.777
          0.390         25.723         29.937          2.497          0.057          6.159         -0.781
          0.392         25.522         29.517          2.499          0.058          6.159         -0.785
          0.394         25.394         29.098          2.500          0.058          6.160         -0.789
          0.396         24.839         28.700          2.501          0.058          6.160         -0.793
          0.398         24.753         28.323          2.502          0.059          6.161         -0.797
          0.400         24.737         27.889          2.504          0.059          6.161         -0.801
          0.402         24.389         27.526          2.505          0.059          6.162         -0.804
          0.404         24.007         27.165          2.506          0.060          6.162         -0.808
          0.406         23.449         26.817          2.508          0.060          6.163         -0.813
          0.407         23.600         26.421          2.509          0.060          6.164         -0.817
          0.409         23.414         26.047          2.510          0.060          6.164         -0.821
          0.411         23.190         25.715          2.512          0.061          6.165         -0.825
          0.413         22.626         25.397          2.513          0.061          6.165         -0.829
          0.415         22.522         25.061          2.514          0.061          6.166         -0.833
          0.417         22.477         24.719          2.516          0.062          6.166         -0.837
          0.419         22.088         24.400          2.517          0.062          6.167         -0.840
          0.421         21.840         24.073          2.518          0.062          6.168         -0.845
          0.423         21.567         23.751          2.520          0.063          6.168         -0.849
          0.425         21.647         23.433          2.521          0.063          6.169         -0.853
          0.427         21.381         23.149          2.523          0.063          6.169         -0.857
          0.428         21.067         22.819          2.524          0.064          6.170         -0.861
          0.430         20.905         22.523          2.525          0.064          6.171         -0.865
          0.432         20.694         22.231          2.527          0.064          6.171         -0.869
          0.434         20.335         21.991          2.528          0.065          6.172         -0.873
          0.436         20.225         21.698          2.530          0.065          6.173         -0.877
          0.438         20.163         21.430          2.531          0.065          6.173         -0.881
          0.440         19.747         21.157          2.533          0.065          6.174         -0.885
          0.442         19.778         20.888          2.534          0.066          6.174         -0.889
          0.444         19.755         20.625          2.536          0.066          6.175         -0.893
          0.446         19.477         20.377          2.537          0.066          6.176         -0.897
          0.448         19.142         20.134          2.539          0.067          6.176         -0.901
          0.450         19.073         19.880          2.540          0.067          6.177         -0.905
          0.452         18.827         19.628          2.542          0.067          6.178         -0.909
          0.453         18.622         19.371          2.543          0.068          6.178         -0.913
          0.455         18.359         19.160          2.545          0.068          6.179         -0.917
          0.457         18.636         18.915          2.546          0.068          6.180         -0.921
          0.459         18.453         18.665          2.548          0.069          6.180         -0.925
          0.461         18.009         18.461          2.549          0.069          6.181         -0.929
          0.463         17.903         18.234          2.551          0.069          6.181         -0.933
          0.465         17.675         18.024          2.552          0.070          6.182         -0.938
          0.467         17.646         17.808          2.554          0.070          6.183         -0.942
          0.469         17.654         17.589          2.556          0.070          6.184         -0.946
          0.471         17.299         17.386          2.557          0.071          6.184         -0.950
          0.472         17.278         17.169          2.559          0.071          6.185         -0.954
          0.474         16.993         16.978          2.560          0.071          6.186         -0.958
          0.476         17.141         16.765          2.562          0.072          6.186         -0.962
          0.478         16.824         16.577          2.564          0.072          6.187         -0.966
          0.480         16.794         16.388          2.565          0.072          6.188         -0.970
          0.482         16.645         16.203          2.567          0.073          6.188         -0.974
          0.484         16.427         16.016          2.569          0.073          6.189         -0.978
          0.486         16.242         15.836          2.570          0.073          6.190         -0.982
          0.488         16.087         15.652          2.572          0.074          6.190         -0.986
          0.490         15.964         15.476          2.574          0.074          6.191         -0.990
          0.492         15.870         15.296          2.575          0.074          6.192         -0.994
          0.493         15.806         15.124          2.577          0.074          6.192         -0.998
          0.495         15.640         14.958          2.579          0.075          6.193         -1.003
          0.497         15.536         14.790          2.581          0.075          6.194         -1.007
          0.499         15.560         14.618          2.582          0.075          6.195         -1.011
          0.501         15.513         14.455          2.584          0.076          6.195         -1.015
          0.503         15.193         14.298          2.586          0.076          6.196         -1.019
          0.505         15.200         14.139          2.588          0.076          6.197         -1.023
          0.507         15.334         13.968          2.589          0.077          6.198         -1.027
          0.509         14.872         13.832          2.591          0.077          6.198         -1.031
          0.511         14.960         13.676          2.593          0.078          6.199         -1.035
          0.513         14.774         13.527          2.595          0.078          6.200         -1.039
          0.515         14.812         13.375          2.597          0.078          6.200         -1.044
          0.518         14.464         13.096          2.600          0.079          6.202         -1.052
          0.520         14.576         12.938          2.602          0.079          6.203         -1.056
          0.522         14.398         12.815          2.604          0.080          6.204         -1.060
          0.524         14.259         12.682          2.606          0.080          6.204         -1.064
          0.526         14.042         12.547          2.608          0.080          6.205         -1.068
          0.528         13.948         12.411          2.610          0.081          6.206         -1.072
          0.530         13.877         12.282          2.612          0.081          6.207         -1.076
          0.534         13.801         12.018          2.615          0.082          6.208         -1.085
          0.536         13.695         11.893          2.617          0.082          6.209         -1.089
          0.537         13.710         11.766          2.619          0.082          6.210         -1.093
          0.539         13.543         11.654          2.621          0.083          6.210         -1.097
          0.543         13.279         11.412          2.625          0.083          6.212         -1.105
          0.545         13.277         11.297          2.627          0.084          6.213         -1.109
          0.547         13.295         11.172          2.629          0.084          6.214         -1.114
          0.549         13.332         11.054          2.631          0.084          6.214         -1.118
          0.553         13.069         10.840          2.635          0.085          6.233         -1.126
          0.555         12.864         10.737          2.637          0.085          6.217         -1.130
          0.557         12.977         10.613          2.639          0.086          6.218         -1.134
          0.559         12.709         10.518          2.641          0.086          6.218         -1.138
          0.562         12.626         10.301          2.645          0.087          6.220         -1.147
          0.564         12.510         10.201          2.648          0.087          6.221         -1.151
          0.566         12.612         10.089          2.650          0.087          6.222         -1.155
          0.570         12.279          9.907          2.654          0.088          6.223         -1.163
          0.572         12.132          9.811          2.656          0.089          6.224         -1.167
          0.576         12.287          9.615          2.660          0.089          6.226         -1.176
          0.578         12.188          9.514          2.662          0.090          6.227         -1.180
          0.580         12.105          9.423          2.665          0.090          6.228         -1.184
          0.584         11.903          9.251          2.669          0.091          6.229         -1.192
          0.585         11.866          9.156          2.671          0.091          6.230         -1.197
          0.589         11.838          8.982          2.676          0.092          6.232         -1.205
          0.591         11.745          8.893          2.678          0.092          6.233         -1.209
          0.595         11.502          8.732          2.682          0.093          6.235         -1.217
          0.597         11.476          8.654          2.685          0.093          6.235         -1.222
          0.601         11.518          8.486          2.689          0.094          6.189         -1.230
          0.603         11.209          8.410          2.691          0.094          6.238         -1.234
          0.606         11.331          8.246          2.696          0.095          6.240         -1.242
          0.608         11.162          8.177          2.698          0.095          6.241         -1.246
          0.612         11.260          8.016          2.703          0.096          6.243         -1.255
          0.614         11.059          7.959          2.706          0.097          6.243         -1.259
          0.618         10.933          7.812          2.710          0.097          6.245         -1.267
          0.620         11.271          7.691          2.713          0.098          6.246         -1.272
          0.623         10.884          7.622          2.717          0.098          6.248         -1.279
          0.626         10.663          7.525          2.721          0.099          6.249         -1.286
          0.629         10.574          7.425          2.725          0.100          6.251         -1.293
          0.633         10.417          7.322          2.729          0.100          6.252         -1.300
          0.636         10.290          7.227          2.733          0.101          6.254         -1.307
          0.639          9.932          7.133          2.738          0.102          6.256         -1.314
          0.642          9.805          7.037          2.742          0.102          6.257         -1.321
          0.646          9.710          6.939          2.746          0.103          6.259         -1.328
          0.649          9.586          6.851          2.751          0.104          6.261         -1.336
          0.652          9.393          6.762          2.756          0.104          6.262         -1.343
          0.656          9.273          6.673          2.760          0.105          6.264         -1.351
          0.659          9.186          6.582          2.765          0.106          6.266         -1.359
          0.663          9.030          6.498          2.770          0.106          6.268         -1.366
          0.667          8.850          6.406          2.775          0.107          6.270         -1.374
          0.670          8.802          6.320          2.780          0.108          6.272         -1.382
          0.674          8.686          6.233          2.785          0.109          6.274         -1.390
          0.677          8.547          6.157          2.791          0.109          6.276         -1.398
          0.681          8.440          6.068          2.796          0.110          6.277         -1.406
          0.685          8.313          5.989          2.802          0.111          6.280         -1.415
          0.689          8.219          5.909          2.807          0.112          6.282         -1.423
          0.693          8.055          5.826          2.813          0.113          6.284         -1.431
          0.697          7.974          5.753          2.819          0.113          6.286         -1.440
          0.701          7.877          5.681          2.825          0.114          6.288         -1.449
          0.705          7.712          5.597          2.831          0.115          6.290         -1.457
          0.709          7.579          5.530          2.837          0.116          6.293         -1.466
          0.713          7.431          5.454          2.844          0.117          6.295         -1.475
          0.717          7.416          5.375          2.850          0.118          6.297         -1.484
          0.721          7.331          5.305          2.857          0.119          6.300         -1.493
          0.725          7.191          5.236          2.864          0.120          6.302         -1.503
          0.729          7.026          5.164          2.870          0.121          6.304         -1.512
          0.734          6.949          5.091          2.877          0.122          6.307         -1.521
          0.738          6.864          5.026          2.885          0.123          6.310         -1.531
          0.742          6.710          4.958          2.892          0.124          6.312         -1.541
          0.747          6.648          4.890          2.900          0.125          6.315         -1.551
          0.751          6.518          4.822          2.907          0.126          6.318         -1.560
          0.756          6.681          4.748          2.915          0.127          6.320         -1.571
          0.761          6.575          4.684          2.923          0.128          6.323         -1.581
          0.765          6.464          4.620          2.932          0.129          6.326         -1.591
          0.770          6.349          4.557          2.940          0.130          6.329         -1.601
          0.775          6.265          4.493          2.949          0.131          6.332         -1.612
          0.780          6.078          4.432          2.958          0.133          6.335         -1.623
          0.785          6.023          4.370          2.967          0.134          6.338         -1.633
          0.790          5.966          4.309          2.976          0.135          6.342         -1.644
          0.795          5.807          4.249          2.985          0.136          6.345         -1.655
          0.800          5.880          4.182          2.995          0.137          6.348         -1.666
          0.805          5.853          4.122          3.005          0.139          6.352         -1.678
          0.810          5.727          4.064          3.015          0.140          6.355         -1.689
          0.816          5.632          4.007          3.025          0.141          6.359         -1.701
          0.821          5.539          3.949          3.036          0.143          6.362         -1.712
          0.827          5.448          3.894          3.047          0.144          6.366         -1.724
          0.832          5.589          3.830          3.058          0.146          6.370         -1.736
          0.838          5.432          3.774          3.070          0.147          6.374         -1.748
          0.843          5.380          3.720          3.081          0.149          6.378         -1.761
          0.849          5.232          3.665          3.094          0.150          6.382         -1.773
          0.855          5.190          3.612          3.106          0.152          6.386         -1.786
          0.861          5.280          3.552          3.119          0.154          6.390         -1.798
          0.867          5.175          3.498          3.132          0.155          6.394         -1.811
          0.918          5.128          3.011          3.249          0.170          6.433         -1.919
          0.925          5.073          2.964          3.266          0.172          6.439         -1.933
          0.932          5.069          2.914          3.283          0.174          6.444         -1.948
          0.939          5.037          2.867          3.301          0.177          6.450         -1.962
          0.946          5.017          2.819          3.318          0.179          6.455         -1.977
          0.954          5.029          2.761          3.337          0.181          6.461         -1.992
          0.961          5.045          2.706          3.356          0.183          6.467         -2.006
          0.969          5.054          2.651          3.376          0.186          6.474         -2.022
          0.976          5.059          2.596          3.396          0.188          6.480         -2.037
          0.984          5.076          2.542          3.417          0.191          6.487         -2.052
          0.992          5.080          2.489          3.438          0.194          6.493         -2.068
          1.000          5.090          2.437          3.460          0.197          6.500         -2.083
          1.008          5.104          2.385          3.483          0.199          6.508         -2.099
          1.016          5.165          2.333          3.506          0.202          6.515         -2.114
          1.025          5.085          2.285          3.531          0.206          6.523         -2.131
          1.033          5.186          2.232          3.555          0.208          6.530         -2.146
          1.042          5.162          2.187          3.581          0.212          6.538         -2.163
          1.051          5.141          2.138          3.608          0.215          6.547         -2.180
          1.060          5.153          2.092          3.636          0.219          6.555         -2.196
          1.069          5.205          2.044          3.663          0.222          6.564         -2.212
          1.078          5.258          1.997          3.691          0.226          6.572         -2.228
          1.088          5.204          1.954          3.723          0.230          6.582         -2.246
          1.097          5.317          1.907          3.752          0.234          6.591         -2.261
          1.107          5.297          1.866          3.785          0.238          6.601         -2.278
          1.117          5.320          1.823          3.818          0.242          6.611         -2.295
          1.127          5.364          1.780          3.851          0.247          6.621         -2.311
          1.137          5.418          1.738          3.885          0.251          6.631         -2.327
          1.148          5.384          1.700          3.923          0.256          6.643         -2.344
          1.159          5.374          1.660          3.962          0.261          6.654         -2.361
          1.170          5.407          1.622          4.001          0.266          6.666         -2.377
          1.181          5.450          1.584          4.041          0.272          6.678         -2.393
          1.192          5.494          1.546          4.081          0.277          6.690         -2.408
          1.204          5.485          1.510          4.126          0.283          6.704         -2.424
          1.216          5.508          1.475          4.171          0.290          6.717         -2.440
          1.228          5.534          1.441          4.217          0.296          6.731         -2.455
          1.240          5.590          1.406          4.263          0.303          6.745         -2.470
          1.252          5.646          1.372          4.311          0.309          6.759         -2.483
          1.265          5.670          1.339          4.363          0.317          6.774         -2.497
          1.278          5.706          1.309          4.415          0.324          6.790         -2.511
          1.291          5.753          1.279          4.469          0.332          6.806         -2.523
          1.305          5.756          1.250          4.527          0.341          6.823         -2.535
          1.319          5.783          1.221          4.586          0.350          6.841         -2.547
          1.333          5.821          1.194          4.646          0.359          6.859         -2.557
          1.348          5.822          1.168          4.711          0.369          6.878         -2.567
          1.362          5.911          1.141          4.773          0.379          6.897         -2.575
          1.378          5.894          1.117          4.844          0.390          6.918         -2.583
          1.393          5.971          1.093          4.912          0.401          6.939         -2.588
          1.409          5.998          1.070          4.985          0.413          6.961         -2.593
          1.425          6.048          1.049          5.059          0.426          6.983         -2.596
          1.442          6.053          1.031          5.139          0.439          7.007         -2.597
          1.459          6.091          1.011          5.219          0.453          7.032         -2.596
          1.476          6.160          0.993          5.301          0.468          7.057         -2.593
          1.494          6.190          0.976          5.388          0.484          7.084         -2.588
          1.512          6.242          0.962          5.476          0.501          7.111         -2.580
          1.531          6.278          0.948          5.570          0.519          7.140         -2.569
          1.550          6.337          0.936          5.664          0.537          7.170         -2.556
          1.569          6.416          0.925          5.759          0.557          7.200         -2.539
          1.590          6.423          0.916          5.865          0.579          7.234         -2.517
          1.610          6.492          0.909          5.966          0.601          7.267         -2.493
          1.631          6.553          0.903          6.073          0.625          7.302         -2.464
          1.653          6.608          0.900          6.185          0.651          7.340         -2.430
          1.675          6.675          0.898          6.297          0.679          7.378         -2.391
          1.698          6.728          0.899          6.415          0.708          7.418         -2.346
          1.722          6.781          0.901          6.537          0.740          7.461         -2.294
          1.746          6.855          0.907          6.658          0.774          7.505         -2.237
          1.771          6.921          0.915          6.784          0.810          7.552         -2.172
          1.797          6.979          0.926          6.914          0.850          7.601         -2.098
          1.823          7.059          0.941          7.043          0.892          7.652         -2.019
          1.851          7.117          0.959          7.179          0.938          7.707         -1.926
          1.879          7.188          0.980          7.312          0.987          7.764         -1.825
          1.907          7.300          1.005          7.443          1.039          7.822         -1.718
          1.937          7.375          1.035          7.579          1.097          7.885         -1.596
          1.968          7.461          1.070          7.714          1.160          7.953         -1.461
          2.000          7.547          1.109          7.849          1.229          8.025         -1.313
          2.033          7.645          1.155          7.981          1.305          8.102         -1.152
          2.066          7.764          1.207          8.106          1.386          8.182         -0.983
          2.101          7.875          1.267          8.230          1.479          8.269         -0.794
          2.138          7.988          1.336          8.350          1.585          8.365         -0.586
          2.175          8.128          1.414          8.459          1.702          8.465         -0.368
          2.214          8.276          1.507          8.560          1.839          8.574         -0.131
          2.254          8.441          1.619          8.649          1.996          8.689          0.121
          2.296          8.630          1.758          8.725          2.182          8.810          0.393
          2.339          8.845          1.940          8.784          2.400          8.931          0.677
          2.384          9.080          2.186          8.825          2.660          9.049          0.980
          2.431          9.315          2.525          8.845          2.969          9.154          1.299
          2.480          9.514          2.981          8.840          3.332          9.230          1.634
          2.530          9.625          3.553          8.807          3.740          9.261          1.974
          2.583          9.561          4.196          8.743          4.203          9.225          2.329
          2.638          9.299          4.819          8.646          4.696          9.099          2.690
          2.695          8.878          5.325          8.514          5.191          8.868          3.051
          2.755          8.398          5.662          8.342          5.657          8.521          3.413
          2.818          7.953          5.872          8.128          6.049          8.067          3.769
          2.883          7.567          6.041          7.875          6.323          7.548          4.108
          2.952          7.174          6.201          7.578          6.465          7.000          4.432
          3.024          6.747          6.330          7.242          6.477          6.494          4.727
          3.100          6.308          6.370          6.865          6.400          6.072          4.990
          3.179          5.928          6.326          6.460          6.296          5.763          5.208
          3.263          5.635          6.254          6.023          6.224          5.542          5.381
          3.351          5.429          6.221          5.570          6.224          5.366          5.498
          3.444          5.238          6.268          5.106          6.300          5.176          5.557
          3.542          5.004          6.392          4.645          6.423          4.927          5.557
          3.647          4.683          6.542          4.193          6.553          4.596          5.497
          3.757          4.270          6.660          3.771          6.645          4.196          5.382
          3.874          3.783          6.706          3.384          6.672          3.742          5.219
          3.999          3.268          6.629          3.041          6.618          3.260          5.017
          4.133          2.780          6.420          2.746          6.474          2.775          4.788
          4.201          3.065          6.787          2.623          6.372          2.551          4.672
          4.301          2.803          6.596          2.469          6.196          2.252          4.506
          4.400          2.498          6.338          2.345          6.000          1.998          4.350
          4.501          2.284          6.083          2.241          5.788          1.780          4.202
          4.601          2.060          5.803          2.158          5.576          1.605          4.068
          4.701          1.873          5.497          2.090          5.369          1.467          3.946
          4.801          1.721          5.240          2.033          5.174          1.359          3.836
          4.901          1.709          5.043          1.984          4.995          1.275          3.737
          5.000          1.766          4.840          1.942          4.834          1.208          3.648
          5.101          1.769          4.685          1.905          4.686          1.151          3.568
          5.202          1.752          4.543          1.870          4.552          1.100          3.495
          5.302          1.739          4.402          1.838          4.430          1.053          3.429
          5.401          1.706          4.286          1.809          4.316          1.007          3.370
          5.502          1.907          4.372          1.780          4.202          0.963          3.314
