      freq (eV)        Lorentz      Bren_Borm
          5.202          0.023          0.022
          5.302          0.022          0.021
          5.401          0.021          0.020
          5.502          0.020          0.019
          5.601          0.019          0.018
          5.701          0.018          0.017
          5.800          0.017          0.016
          5.902          0.016          0.015
          6.002          0.015          0.015
          6.200          0.014          0.013
          6.359          0.013          0.012
          6.527          0.012          0.011
          6.703          0.011          0.010
          6.889          0.010          0.010
          7.086          0.009          0.009
          7.294          0.008          0.008
          7.516          0.008          0.007
          7.750          0.007          0.007
          8.000          0.006          0.006
          8.267          0.006          0.006
          8.552          0.005          0.005
          8.858          0.005          0.005
          8.921          0.005          0.004
          8.986          0.005          0.004
          9.052          0.004          0.004
          9.118          0.004          0.004
          9.186          0.004          0.004
          9.254          0.004          0.004
          9.324          0.004          0.004
          9.394          0.004          0.004
          9.466          0.004          0.004
          9.539          0.004          0.004
          9.613          0.004          0.004
          9.688          0.004          0.003
          9.764          0.004          0.003
          9.842          0.003          0.003
          9.920          0.003          0.003
         10.000          0.003          0.003
         10.080          0.003          0.003
         10.160          0.003          0.003
         10.250          0.003          0.003
         10.330          0.003          0.003
         10.420          0.003          0.003
         10.510          0.003          0.003
         10.600          0.003          0.003
         10.690          0.003          0.003
         10.780          0.003          0.003
         10.880          0.003          0.002
         10.970          0.002          0.002
         11.070          0.002          0.002
         11.170          0.002          0.002
         11.270          0.002          0.002
         11.380          0.002          0.002
         11.480          0.002          0.002
         11.590          0.002          0.002
         11.700          0.002          0.002
         11.810          0.002          0.002
         11.920          0.002          0.002
         12.040          0.002          0.002
         12.160          0.002          0.002
         12.280          0.002          0.002
         12.400          0.002          0.002
         12.530          0.002          0.002
         12.650          0.002          0.002
         12.780          0.002          0.002
         12.920          0.002          0.001
         13.050          0.001          0.001
         13.190          0.001          0.001
         13.330          0.001          0.001
         13.480          0.001          0.001
         13.630          0.001          0.001
         13.780          0.001          0.001
         13.930          0.001          0.001
         14.090          0.001          0.001
         14.250          0.001          0.001
         14.420          0.001          0.001
         14.590          0.001          0.001
         14.760          0.001          0.001
         14.940          0.001          0.001
         15.120          0.001          0.001
         15.310          0.001          0.001
         15.500          0.001          0.001
         15.700          0.001          0.001
         15.900          0.001          0.001
         16.100          0.001          0.001
         16.320          0.001          0.001
         16.530          0.001          0.001
         16.760          0.001          0.001
         16.990          0.001          0.001
         17.220          0.001          0.001
         17.470          0.001          0.001
         17.720          0.001          0.001
         17.970          0.001          0.001
         18.240          0.001          0.001
         18.510          0.001          0.000
         18.790          0.000          0.000
         19.080          0.000          0.000
         19.380          0.000          0.000
         19.680          0.000          0.000
         20.000          0.000          0.000
         20.330          0.000          0.000
         20.670          0.000          0.000
         21.020          0.000          0.000
         21.380          0.000          0.000
         21.760          0.000          0.000
         22.140          0.000          0.000
         22.550          0.000          0.000
         22.960          0.000          0.000
         23.400          0.000          0.000
         23.850          0.000          0.000
         24.310          0.000          0.000
         24.800          0.000          0.000
         25.310          0.000          0.000
         25.830          0.000          0.000
         26.010          0.000          0.000
         26.380          0.000          0.000
         27.000          0.000          0.000
         28.000          0.000          0.000
         29.010          0.000          0.000
         29.500          0.000          0.000
         30.000          0.000          0.000
         30.510          0.000          0.000
         31.010          0.000          0.000
         32.010          0.000          0.000
         33.010          0.000          0.000
         34.010          0.000          0.000
         35.010          0.000          0.000
         36.010          0.000          0.000
         37.010          0.000          0.000
         38.000          0.000          0.000
         39.010          0.000          0.000
         40.010          0.000          0.000
         41.010          0.000          0.000
         42.010          0.000          0.000
         43.010          0.000          0.000
         44.000          0.000          0.000
         45.010          0.000          0.000
         46.010          0.000          0.000
         47.010          0.000          0.000
         48.010          0.000          0.000
         49.010          0.000          0.000
         50.000          0.000          0.000
         52.020          0.000          0.000
         54.010          0.000          0.000
         56.010          0.000          0.000
         58.000          0.000          0.000
         60.020          0.000          0.000
         62.000          0.000          0.000
         64.020          0.000          0.000
         66.030          0.000          0.000
         68.020          0.000          0.000
         70.020          0.000          0.000
         72.010          0.000          0.000
         74.030          0.000          0.000
         76.030          0.000          0.000
         78.040          0.000          0.000
         80.000          0.000          0.000
         82.010          0.000          0.000
         83.000          0.000          0.000
         83.510          0.000          0.000
         84.010          0.000          0.000
         84.530          0.000          0.000
         84.990          0.000          0.000
         86.000          0.000          0.000
         87.020          0.000          0.000
         87.510          0.000          0.000
         88.010          0.000          0.000
        100.000          0.000          0.000
        105.000          0.000          0.000
        110.000          0.000          0.000
        120.000          0.000          0.000
        150.000          0.000          0.000
        180.000          0.000          0.000
        200.000          0.000          0.000
        220.000          0.000          0.000
        260.000          0.000          0.000
        300.000          0.000          0.000
        395.400          0.000          0.000
        452.200          0.000          0.000
        500.400          0.000          0.000
        525.000          0.000          0.000
        573.000          0.000          0.000
        637.600          0.000          0.000
        705.000          0.000          0.000
        776.500          0.000          0.000
        851.700          0.000          0.000
        929.600          0.000          0.000
       1012.000          0.000          0.000
       1188.000          0.000          0.000
       1254.000          0.000          0.000
       1487.000          0.000          0.000
       1550.000          0.000          0.000
       1772.000          0.000          0.000
       2067.000          0.000          0.000
       2480.000          0.000          0.000
       3100.000          0.000          0.000
       3543.000          0.000          0.000
       4134.000          0.000          0.000
       4960.000          0.000          0.000
       6200.000          0.000          0.000
       7086.000          0.000          0.000
       8267.000          0.000          0.000
       8552.000          0.000          0.000
       9186.000          0.000          0.000
       9920.000          0.000          0.000
