      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.365       -438.406       -599.319       -460.538       -434.773       -603.058
          0.367       -434.083       -593.058       -455.880       -430.352       -596.851
          0.369       -429.836       -586.894       -451.292       -425.997       -590.739
          0.371       -425.662       -580.824       -446.772       -421.707       -584.721
          0.373       -421.560       -574.847       -442.320       -417.481       -578.793
          0.375       -417.528       -568.961       -437.933       -413.317       -572.955
          0.377       -413.358       -562.861       -433.385       -409.000       -566.905
          0.379       -409.465       -557.154       -429.130       -404.960       -561.244
          0.381       -405.637       -551.534       -424.936       -400.979       -555.669
          0.383       -401.873       -545.996       -420.804       -397.055       -550.175
          0.385       -398.171       -540.541       -416.731       -393.188       -544.762
          0.386       -394.530       -535.166       -412.716       -389.376       -539.429
          0.388       -390.948       -529.869       -408.759       -385.619       -534.173
          0.390       -387.240       -524.377       -404.654       -381.721       -528.723
          0.392       -383.774       -519.237       -400.812       -378.072       -523.622
          0.394       -380.364       -514.172       -397.023       -374.474       -518.594
          0.396       -377.006       -509.179       -393.288       -370.927       -513.639
          0.398       -373.700       -504.258       -389.605       -367.429       -508.753
          0.400       -370.444       -499.406       -385.973       -363.979       -503.937
          0.402       -367.237       -494.623       -382.391       -360.578       -499.189
          0.404       -364.078       -489.908       -378.859       -357.222       -494.507
          0.406       -360.802       -485.016       -375.193       -353.740       -489.649
          0.407       -357.736       -480.435       -371.759       -350.479       -485.100
          0.409       -354.713       -475.917       -368.372       -347.261       -480.614
          0.411       -351.732       -471.462       -365.031       -344.087       -476.190
          0.413       -348.792       -467.069       -361.735       -340.956       -471.826
          0.415       -345.892       -462.735       -358.482       -337.866       -467.522
          0.417       -343.030       -458.461       -355.274       -334.818       -463.277
          0.419       -340.206       -454.245       -352.108       -331.810       -459.088
          0.421       -337.272       -449.868       -348.820       -328.687       -454.740
          0.423       -334.521       -445.768       -345.739       -325.760       -450.667
          0.425       -331.805       -441.722       -342.699       -322.871       -446.647
          0.427       -329.121       -437.730       -339.698       -320.020       -442.681
          0.428       -326.470       -433.792       -336.736       -317.206       -438.767
          0.430       -323.851       -429.905       -333.813       -314.428       -434.905
          0.432       -321.262       -426.070       -330.927       -311.686       -431.094
          0.434       -318.568       -422.086       -327.930       -308.838       -427.135
          0.436       -316.039       -418.353       -325.119       -306.167       -423.425
          0.438       -313.539       -414.668       -322.345       -303.531       -419.763
          0.440       -311.065       -411.031       -319.605       -300.927       -416.147
          0.442       -308.619       -407.441       -316.900       -298.357       -412.578
          0.444       -306.199       -403.896       -314.229       -295.819       -409.055
          0.446       -303.804       -400.397       -311.592       -293.313       -405.577
          0.448       -301.434       -396.942       -308.987       -290.838       -402.142
          0.450       -298.966       -393.353       -306.281       -288.265       -398.573
          0.452       -296.646       -389.987       -303.742       -285.853       -395.227
          0.453       -294.349       -386.663       -301.234       -283.470       -391.922
          0.455       -292.076       -383.381       -298.757       -281.116       -388.659
          0.457       -289.825       -380.140       -296.311       -278.791       -385.436
          0.459       -287.596       -376.939       -293.894       -276.494       -382.253
          0.461       -285.389       -373.777       -291.506       -274.225       -379.109
          0.463       -283.203       -370.655       -289.147       -271.983       -376.003
          0.465       -280.925       -367.409       -286.695       -269.652       -372.775
          0.467       -278.782       -364.364       -284.394       -267.465       -369.746
          0.469       -276.660       -361.356       -282.120       -265.305       -366.754
          0.471       -274.558       -358.384       -279.873       -263.169       -363.799
          0.472       -272.475       -355.448       -277.653       -261.059       -360.878
          0.474       -270.413       -352.547       -275.459       -258.974       -357.993
          0.476       -268.369       -349.681       -273.291       -256.913       -355.141
          0.478       -266.345       -346.849       -271.148       -254.877       -352.324
          0.480       -264.235       -343.905       -268.919       -252.758       -349.394
          0.482       -262.249       -341.141       -266.826       -250.770       -346.645
          0.484       -260.282       -338.410       -264.758       -248.805       -343.927
          0.486       -258.333       -335.710       -262.714       -246.862       -341.242
          0.488       -256.402       -333.043       -260.693       -244.941       -338.587
          0.490       -254.490       -330.406       -258.695       -243.043       -335.964
          0.492       -252.595       -327.800       -256.720       -241.165       -333.370
          0.493       -250.717       -325.223       -254.767       -239.310       -330.806
          0.495       -248.759       -322.543       -252.735       -237.379       -328.140
          0.497       -246.917       -320.027       -250.827       -235.566       -325.636
          0.499       -245.092       -317.540       -248.941       -233.773       -323.160
          0.501       -243.284       -315.081       -247.075       -232.000       -320.713
          0.503       -241.493       -312.650       -245.231       -230.247       -318.293
          0.505       -239.718       -310.246       -243.406       -228.513       -315.900
          0.507       -237.960       -307.869       -241.602       -226.799       -313.534
          0.509       -236.126       -305.395       -239.724       -225.014       -311.072
          0.511       -234.401       -303.072       -237.960       -223.338       -308.760
          0.513       -232.692       -300.775       -236.216       -221.680       -306.474
          0.515       -230.999       -298.504       -234.490       -220.041       -304.212
          0.518       -227.659       -294.035       -231.094       -216.814       -299.764
          0.520       -226.013       -291.837       -229.424       -215.227       -297.576
          0.522       -224.296       -289.550       -227.685       -213.575       -295.298
          0.524       -222.681       -287.401       -226.051       -212.022       -293.159
          0.526       -221.081       -285.275       -224.434       -210.486       -291.042
          0.528       -219.495       -283.172       -222.835       -208.966       -288.948
          0.530       -217.925       -281.092       -221.252       -207.463       -286.877
          0.534       -214.827       -276.998       -218.136       -204.503       -282.801
          0.536       -213.300       -274.984       -216.603       -203.046       -280.795
          0.537       -211.786       -272.990       -215.086       -201.604       -278.810
          0.539       -210.209       -270.915       -213.505       -200.103       -276.743
          0.543       -207.254       -267.035       -210.550       -197.295       -272.879
          0.545       -205.797       -265.125       -209.095       -195.913       -270.977
          0.547       -204.354       -263.235       -207.655       -194.545       -269.095
          0.549       -202.924       -261.365       -206.229       -193.191       -267.232
          0.553       -200.030       -257.586       -203.348       -190.455       -263.469
          0.555       -198.640       -255.774       -201.966       -189.142       -261.664
          0.557       -197.263       -253.980       -200.598       -187.843       -259.877
          0.559       -195.899       -252.205       -199.244       -186.557       -258.109
