energy, eV	Re eps	Im eps
4.935E-01	-3.150E+02	3.126E+01
4.955E-01	-3.125E+02	3.090E+01
4.974E-01	-3.101E+02	3.055E+01
4.993E-01	-3.076E+02	3.020E+01
5.012E-01	-3.052E+02	2.986E+01
5.031E-01	-3.031E+02	2.953E+01
5.050E-01	-3.007E+02	2.920E+01
5.069E-01	-2.982E+02	2.886E+01
5.089E-01	-2.962E+02	2.855E+01
5.108E-01	-2.938E+02	2.823E+01
5.127E-01	-2.917E+02	2.792E+01
5.146E-01	-2.894E+02	2.761E+01
5.184E-01	-2.853E+02	2.702E+01
5.203E-01	-2.830E+02	2.671E+01
5.223E-01	-2.809E+02	2.643E+01
5.242E-01	-2.789E+02	2.615E+01
5.261E-01	-2.770E+02	2.587E+01
5.280E-01	-2.750E+02	2.559E+01
5.299E-01	-2.730E+02	2.532E+01
5.337E-01	-2.690E+02	2.478E+01
5.356E-01	-2.671E+02	2.452E+01
5.375E-01	-2.651E+02	2.426E+01
5.395E-01	-2.632E+02	2.401E+01
5.433E-01	-2.596E+02	2.351E+01
5.452E-01	-2.577E+02	2.327E+01
5.471E-01	-2.558E+02	2.302E+01
5.490E-01	-2.539E+02	2.278E+01
5.529E-01	-2.504E+02	2.232E+01
5.548E-01	-2.488E+02	2.210E+01
5.567E-01	-2.469E+02	2.186E+01
5.586E-01	-2.454E+02	2.165E+01
5.624E-01	-2.420E+02	2.121E+01
5.643E-01	-2.404E+02	2.100E+01
5.662E-01	-2.386E+02	2.078E+01
5.701E-01	-2.355E+02	2.038E+01
5.720E-01	-2.340E+02	2.018E+01
5.758E-01	-2.306E+02	1.978E+01
5.777E-01	-2.291E+02	1.958E+01
5.796E-01	-2.276E+02	1.939E+01
5.835E-01	-2.246E+02	1.902E+01
5.854E-01	-2.231E+02	1.883E+01
5.892E-01	-2.201E+02	1.847E+01
5.911E-01	-2.187E+02	1.829E+01
5.949E-01	-2.160E+02	1.795E+01
5.969E-01	-2.145E+02	1.778E+01
6.007E-01	-2.116E+02	1.744E+01
6.026E-01	-2.105E+02	1.728E+01
6.064E-01	-2.076E+02	1.695E+01
6.083E-01	-2.064E+02	1.680E+01
6.121E-01	-2.036E+02	1.648E+01
6.141E-01	-2.024E+02	1.634E+01
6.179E-01	-1.999E+02	1.604E+01
6.199E-01	-1.982E+02	1.584E+01
6.230E-01	-1.965E+02	1.565E+01
6.262E-01	-1.946E+02	1.543E+01
6.294E-01	-1.926E+02	1.521E+01
6.326E-01	-1.907E+02	1.499E+01
6.358E-01	-1.888E+02	1.478E+01
6.391E-01	-1.871E+02	1.457E+01
6.424E-01	-1.852E+02	1.436E+01
6.457E-01	-1.833E+02	1.415E+01
6.491E-01	-1.814E+02	1.395E+01
6.525E-01	-1.796E+02	1.375E+01
6.560E-01	-1.777E+02	1.355E+01
6.595E-01	-1.758E+02	1.335E+01
6.630E-01	-1.740E+02	1.316E+01
6.666E-01	-1.722E+02	1.296E+01
6.702E-01	-1.703E+02	1.277E+01
6.738E-01	-1.685E+02	1.258E+01
6.775E-01	-1.667E+02	1.240E+01
6.812E-01	-1.649E+02	1.221E+01
6.850E-01	-1.631E+02	1.203E+01
6.888E-01	-1.613E+02	1.185E+01
6.926E-01	-1.596E+02	1.167E+01
6.965E-01	-1.578E+02	1.150E+01
7.005E-01	-1.560E+02	1.133E+01
7.045E-01	-1.543E+02	1.115E+01
7.085E-01	-1.526E+02	1.099E+01
7.126E-01	-1.509E+02	1.082E+01
7.167E-01	-1.491E+02	1.065E+01
7.208E-01	-1.474E+02	1.049E+01
7.251E-01	-1.457E+02	1.033E+01
7.293E-01	-1.441E+02	1.017E+01
7.336E-01	-1.424E+02	1.001E+01
7.380E-01	-1.407E+02	9.857E+00
7.424E-01	-1.391E+02	9.704E+00
7.469E-01	-1.374E+02	9.551E+00
7.514E-01	-1.358E+02	9.400E+00
7.560E-01	-1.339E+02	9.243E+00
7.606E-01	-1.323E+02	9.098E+00
7.653E-01	-1.307E+02	8.953E+00
7.701E-01	-1.291E+02	8.809E+00
7.749E-01	-1.275E+02	8.667E+00
7.798E-01	-1.260E+02	8.528E+00
7.847E-01	-1.244E+02	8.390E+00
7.897E-01	-1.228E+02	8.253E+00
7.948E-01	-1.213E+02	8.117E+00
7.999E-01	-1.196E+02	7.977E+00
8.051E-01	-1.180E+02	7.844E+00
8.104E-01	-1.165E+02	7.713E+00
8.157E-01	-1.150E+02	7.586E+00
8.211E-01	-1.135E+02	7.458E+00
8.266E-01	-1.120E+02	7.333E+00
8.321E-01	-1.103E+02	7.201E+00
