      freq (eV)    K-K (Drude)          Drude    Marachevsky     Gen_plasma      Bren_Borm         Lor-Dr
          0.356        657.942        600.410        424.268        646.940        445.340        449.126
          0.358        651.368        594.258        420.158        640.160        440.962        444.840
          0.360        644.893        588.201        416.109        633.486        436.649        440.616
          0.362        638.183        581.924        411.911        626.575        432.177        436.237
          0.363        631.906        576.054        407.983        620.115        427.993        432.139
          0.365        625.723        570.273        404.111        613.755        423.870        428.100
          0.367        619.631        564.578        400.296        607.493        419.807        424.119
          0.369        613.629        558.969        396.535        601.328        415.803        420.195
          0.371        607.714        553.442        392.828        595.257        411.857        416.326
          0.373        601.886        547.998        389.174        589.279        407.967        412.513
          0.375        596.143        542.634        385.571        583.392        404.132        408.753
          0.377        590.187        537.072        381.834        577.290        400.155        404.853
          0.379        584.612        531.867        378.335        571.583        396.431        401.200
          0.381        579.117        526.737        374.885        565.961        392.760        397.598
          0.383        573.700        521.682        371.483        560.423        389.140        394.046
          0.385        568.360        516.699        368.127        554.967        385.570        390.543
          0.386        563.095        511.788        364.818        549.590        382.050        387.088
          0.388        557.904        506.946        361.555        544.293        378.578        383.679
          0.390        552.518        501.924        358.167        538.800        374.975        380.142
          0.392        547.474        497.221        354.994        533.659        371.601        376.828
          0.394        542.500        492.585        351.864        528.593        368.272        373.558
          0.396        537.595        488.013        348.776        523.599        364.988        370.332
          0.398        532.757        483.505        345.729        518.677        361.749        367.149
          0.400        527.984        479.059        342.723        513.824        358.553        364.008
          0.402        523.277        474.674        339.756        509.040        355.400        360.908
          0.404        518.633        470.349        336.829        504.324        352.288        357.850
          0.406        513.813        465.861        333.790        499.431        349.058        354.673
          0.407        509.296        461.656        330.941        494.849        346.030        351.696
          0.409        504.839        457.508        328.129        490.330        343.042        348.757
          0.411        500.442        453.416        325.354        485.874        340.094        345.856
          0.413        496.103        449.378        322.615        481.480        337.183        342.992
          0.415        491.820        445.395        319.910        477.145        334.310        340.165
          0.417        487.594        441.464        317.241        472.870        331.475        337.373
          0.419        483.423        437.585        314.606        468.653        328.675        334.618
          0.421        479.091        433.557        311.868        464.275        325.767        331.754
          0.423        475.031        429.782        309.300        460.173        323.041        329.069
          0.425        471.022        426.057        306.765        456.127        320.349        326.417
          0.427        467.065        422.379        304.262        452.134        317.691        323.799
          0.428        463.158        418.749        301.790        448.195        315.066        321.213
          0.430        459.301        415.166        299.349        444.307        312.474        318.658
          0.432        455.493        411.629        296.938        440.470        309.915        316.136
          0.434        451.536        407.954        294.432        436.486        307.255        313.513
          0.436        447.825        404.509        292.082        432.752        304.760        311.053
          0.438        444.160        401.107        289.760        429.066        302.296        308.623
          0.440        440.542        397.748        287.466        425.428        299.862        306.222
          0.442        436.968        394.431        285.200        421.836        297.457        303.850
          0.444        433.438        391.155        282.962        418.291        295.082        301.507
          0.446        429.951        387.921        280.751        414.791        292.736        299.191
          0.448        426.507        384.726        278.566        411.335        290.418        296.903
          0.450        422.927        381.406        276.294        407.745        288.007        294.524
          0.452        419.568        378.291        274.162        404.378        285.746        292.291
          0.453        416.250        375.215        272.055        401.053        283.511        290.084
          0.455        412.972        372.176        269.973        397.770        281.303        287.903
          0.457        409.734        369.174        267.916        394.528        279.121        285.748
          0.459        406.533        366.208        265.882        391.326        276.965        283.617
          0.461        403.371        363.278        263.872        388.163        274.834        281.511
          0.463        400.246        360.383        261.886        385.040        272.728        279.429
          0.465        396.997        357.374        259.820        381.793        270.537        277.264
          0.467        393.947        354.549        257.880        378.747        268.481        275.231
          0.469        390.933        351.758        255.962        375.738        266.448        273.221
          0.471        387.954        349.000        254.067        372.765        264.439        271.233
          0.472        385.010        346.274        252.193        369.828        262.453        269.268
          0.474        382.100        343.580        250.340        366.927        260.489        267.326
          0.476        379.223        340.918        248.508        364.059        258.548        265.404
          0.478        376.379        338.286        246.697        361.226        256.628        263.505
          0.480        373.421        335.549        244.812        358.281        254.631        261.528
          0.482        370.643        332.980        243.042        355.516        252.756        259.671
          0.484        367.897        330.440        241.292        352.784        250.901        257.835
          0.486        365.182        327.929        239.561        350.084        249.068        256.019
          0.488        362.497        325.446        237.849        347.415        247.254        254.223
          0.490        359.843        322.992        236.156        344.777        245.461        252.446
          0.492        357.218        320.566        234.481        342.170        243.687        250.688
          0.493        354.622        318.167        232.825        339.593        241.933        248.950
          0.495        351.921        315.670        231.101        336.912        240.108        247.140
          0.497        349.384        313.326        229.481        334.395        238.393        245.440
          0.499        346.875        311.008        227.879        331.906        236.696        243.758
          0.501        344.394        308.715        226.294        329.446        235.018        242.094
          0.503        341.939        306.448        224.727        327.014        233.358        240.447
          0.505        339.511        304.206        223.175        324.609        231.716        238.818
          0.507        337.110        301.989        221.641        322.231        230.092        237.206
          0.509        334.610        299.680        220.043        319.757        228.400        235.528
          0.511        332.261        297.512        218.541        317.433        226.811        233.950
          0.513        329.938        295.368        217.056        315.135        225.238        232.389
          0.515        327.639        293.246        215.585        312.862        223.683        230.844
          0.518        323.115        289.072        212.691        308.392        220.620        227.802
          0.520        320.888        287.018        211.266        306.193        219.112        226.304
          0.522        318.570        284.879        209.782        303.904        217.542        224.745
          0.524        316.392        282.870        208.387        301.755        216.066        223.278
          0.526        314.236        280.882        207.007        299.628        214.606        221.827
          0.528        312.103        278.915        205.641        297.524        213.161        220.390
          0.530        309.992        276.969        204.288        295.443        211.730        218.968
          0.534        305.835        273.137        201.624        291.347        208.913        216.166
          0.536        303.788        271.251        200.313        289.331        207.526        214.786
          0.537        301.763        269.384        199.014        287.337        206.152        213.420
          0.539        299.653        267.440        197.661        285.261        204.722        211.996
          0.543        295.706        263.804        195.130        281.379        202.045        209.332
          0.545        293.763        262.014        193.883        279.468        200.727        208.020
          0.547        291.839        260.242        192.648        277.577        199.422        206.720
          0.549        289.934        258.489        191.426        275.706        198.130        205.433
          0.553        286.084        254.944        188.954        271.925        195.517        202.831
          0.555        284.237        253.244        187.767        270.112        194.263        201.582
          0.557        282.408        251.560        186.593        268.318        193.021        200.344
          0.559        280.597        249.894        185.429        266.541        191.792        199.119
          0.562        277.028        246.610        183.136        263.042        189.369        196.703
          0.564        275.270        244.992        182.006        261.319        188.175        195.512
          0.566        273.529        243.391        180.887        259.614        186.992        194.333
          0.570        270.007        240.152        178.622        256.166        184.600        191.947
          0.572        268.317        238.598        177.535        254.512        183.452        190.801
          0.576        264.985        235.535        175.391        251.252        181.187        188.541
          0.578        263.343        234.025        174.335        249.646        180.071        187.426
          0.580        261.716        232.530        173.288        248.056        178.966        186.322
          0.584        258.426        229.506        171.169        244.841        176.728        184.088
          0.585        256.846        228.054        170.152        243.298        175.654        183.015
          0.589        253.730        225.192        168.145        240.256        173.535        180.897
          0.591        252.194        223.781        167.155        238.757        172.490        179.853
          0.595        249.165        220.999        165.203        235.802        170.429        177.793
          0.597        247.593        219.556        164.189        234.269        169.360        176.723
          0.601        244.648        216.852        162.291        231.399        167.356        174.719
          0.603        243.196        215.519        161.354        229.984        166.367        173.730
          0.606        240.331        212.890        159.506        227.195        164.417        171.779
          0.608        238.918        211.593        158.594        225.819        163.455        170.816
          0.612        236.130        209.035        156.795        223.107        161.557        168.915
          0.614        234.683        207.708        155.861        221.700        160.571        167.928
          0.618        231.971        205.221        154.110        219.063        158.724        166.078
          0.620        230.563        203.929        153.201        217.695        157.765        165.117
          0.623        228.407        201.952        151.808        215.600        156.296        163.645
          0.626        226.214        199.941        150.391        213.470        154.801        162.147
          0.629        224.053        197.961        148.994        211.373        153.328        160.670
          0.633        221.924        196.009        147.618        209.307        151.877        159.215
          0.636        219.826        194.087        146.261        207.272        150.446        157.780
          0.639        217.694        192.134        144.883        205.206        148.993        156.321
          0.642        215.594        190.210        143.524        203.171        147.561        154.884
          0.646        213.526        188.316        142.186        201.167        146.150        153.467
          0.649        211.426        186.393        140.827        199.135        144.718        152.029
          0.652        209.359        184.500        139.488        197.134        143.307        150.612
          0.656        207.263        182.582        138.131        195.107        141.877        149.175
          0.659        205.200        180.693        136.795        193.112        140.468        147.760
          0.663        203.168        178.834        135.478        191.148        139.082        146.365
          0.667        201.111        176.952        134.145        189.160        137.677        144.952
          0.670        199.085        175.099        132.832        187.204        136.294        143.561
          0.674        197.092        173.275        131.539        185.280        134.932        142.191
          0.677        195.075        171.431        130.231        183.334        133.554        140.804
          0.681        193.089        169.616        128.943        181.419        132.198        139.439
          0.685        191.083        167.782        127.641        179.485        130.827        138.058
          0.689        189.109        165.977        126.360        177.583        129.478        136.699
          0.693        187.166        164.202        125.099        175.711        128.150        135.361
          0.697        185.205        162.410        123.825        173.823        126.809        134.009
          0.701        183.226        160.602        122.539        171.918        125.456        132.644
          0.705        181.279        158.825        121.275        170.046        124.125        131.302
          0.709        179.365        157.077        120.031        168.205        122.816        129.981
          0.713        177.436        155.315        118.776        166.351        121.496        128.648
          0.717        175.538        153.583        117.543        164.528        120.198        127.337
          0.721        173.672        151.880        116.329        162.736        118.921        126.048
          0.725        171.748        150.124        115.077        160.889        117.604        124.717
          0.729        169.901        148.438        113.875        159.116        116.340        123.439
          0.734        168.041        146.742        112.665        157.333        115.067        122.152
          0.738        166.171        145.037        111.447        155.540        113.786        120.857
          0.742        164.333        143.361        110.250        153.779        112.528        119.584
          0.747        162.486        141.677        109.047        152.010        111.263        118.303
          0.751        160.672        140.023        107.864        150.273        110.019        117.045
          0.756        158.849        138.363        106.677        148.529        108.771        115.780
          0.761        157.059        136.731        105.509        146.816        107.544        114.537
          0.765        155.262        135.095        104.337        145.098        106.312        113.289
          0.770        153.460        133.453        103.162        143.376        105.077        112.036
          0.775        151.691        131.842        102.007        141.685        103.864        110.806
          0.780        149.917        130.227        100.850        139.991        102.648        109.572
          0.785        148.175        128.642         99.713        138.329        101.454        108.359
          0.790        146.431        127.055         98.573        136.665        100.257        107.144
          0.795        144.685        125.466         97.433        134.999         99.059        105.927
          0.800        142.971        123.906         96.313        133.365         97.883        104.732
          0.805        141.256        122.347         95.192        131.731         96.706        103.536
          0.810        139.541        120.787         94.071        130.098         95.529        102.339
          0.816        137.859        119.258         92.971        128.496         94.374        101.164
          0.821        136.177        117.730         91.871        126.896         93.220         99.989
          0.827        134.497        116.203         90.772        125.298         92.067         98.814
          0.832        132.850        114.706         89.693        123.732         90.935         97.662
          0.838        131.205        113.212         88.616        122.169         89.805         96.510
          0.843        129.564        111.722         87.541        120.609         88.678         95.360
          0.849        127.926        110.235         86.469        119.055         87.553         94.213
          0.855        126.294        108.753         85.399        117.505         86.431         93.068
          0.861        124.694        107.301         84.351        115.988         85.332         91.946
          0.867        123.100        105.855         83.306        114.476         84.236         90.826
          0.918        110.670         94.588         75.145        102.711         75.686         82.075
          0.925        109.154         93.214         74.149        101.279         74.642         81.004
          0.932        107.670         91.871         73.173         99.878         73.621         79.956
          0.939        106.177         90.520         72.191         98.468         72.592         78.900
          0.946        104.716         89.198         71.230         97.090         71.587         77.867
          0.954        103.248         87.870         70.263         95.705         70.575         76.827
          0.961        101.792         86.553         69.305         94.333         69.572         75.796
          0.969        100.350         85.249         68.355         92.975         68.579         74.773
          0.976         98.903         83.941         67.402         91.612         67.582         73.747
          0.984         97.489         82.664         66.470         90.281         66.608         72.743
          0.992         96.072         81.383         65.536         88.947         65.631         71.736
          1.000         94.670         80.117         64.611         87.629         64.664         70.740
          1.008         93.284         78.865         63.697         86.325         63.709         69.753
          1.016         91.946         77.658         62.814         85.068         62.787         68.801
          1.025         90.478         76.333         61.845         83.689         61.774         67.755
          1.033         89.204         75.184         61.004         82.493         60.896         66.847
          1.042         87.805         73.922         60.081         81.180         59.931         65.849
          1.051         86.441         72.693         59.180         79.901         58.990         64.875
          1.060         85.111         71.494         58.300         78.654         58.072         63.924
          1.069         83.814         70.325         57.443         77.438         57.177         62.996
          1.078         82.548         69.184         56.606         76.252         56.303         62.090
          1.088         81.178         67.950         55.699         74.968         55.357         61.109
          1.097         79.975         66.868         54.904         73.843         54.527         60.247
          1.107         78.673         65.696         54.041         72.624         53.628         59.312
          1.117         77.404         64.554         53.202         71.438         52.752         58.402
          1.127         76.169         63.443         52.383         70.283         51.899         57.514
          1.137         74.965         62.361         51.585         69.157         51.068         56.648
          1.148         73.676         61.203         50.731         67.954         50.178         55.720
          1.159         72.423         60.077         49.900         66.783         49.312         54.818
          1.170         71.204         58.982         49.092         65.646         48.470         53.939
          1.181         70.019         57.918         48.305         64.540         47.651         53.083
          1.192         68.865         56.882         47.539         63.464         46.854         52.250
          1.204         67.641         55.785         46.727         62.323         46.008         51.365
          1.216         66.453         54.719         45.938         61.216         45.187         50.505
          1.228         65.299         53.684         45.171         60.141         44.389         49.669
          1.240         64.177         52.679         44.425         59.096         43.614         48.856
          1.252         63.086         51.703         43.700         58.082         42.860         48.064
          1.265         61.939         50.675         42.937         57.014         42.067         47.231
          1.278         60.826         49.679         42.196         55.979         41.297         46.421
          1.291         59.745         48.713         41.476         54.975         40.550         45.635
          1.305         58.616         47.704         40.725         53.926         39.769         44.813
          1.319         57.523         46.726         39.996         52.910         39.013         44.015
          1.333         56.462         45.779         39.290         51.926         38.280         43.241
          1.348         55.362         44.797         38.556         50.905         37.519         42.437
          1.362         54.366         43.909         37.892         49.981         36.830         41.709
          1.378         53.265         42.926         37.157         48.960         36.068         40.902
          1.393         52.266         42.036         36.490         48.034         35.377         40.170
          1.409         51.234         41.117         35.802         47.078         34.664         39.413
          1.425         50.236         40.229         35.135         46.154         33.974         38.679
          1.442         49.211         39.316         34.450         45.205         33.265         37.925
          1.459         48.221         38.436         33.788         44.288         32.580         37.196
          1.476         47.263         37.585         33.148         43.403         31.918         36.490
          1.494         46.284         36.716         32.493         42.498         31.240         35.767
          1.512         45.339         35.877         31.860         41.624         30.587         35.069
          1.531         44.376         35.024         31.215         40.734         29.921         34.356
          1.550         43.448         34.201         30.593         39.877         29.279         33.668
          1.569         42.552         33.408         29.993         39.049         28.659         33.004
          1.590         41.598         32.563         29.353         38.169         27.999         32.295
          1.610         40.723         31.790         28.766         37.361         27.394         31.644
          1.631         39.837         31.008         28.172         36.545         26.782         30.984
          1.653         38.944         30.220         27.572         35.722         26.165         30.318
          1.675         38.086         29.463         26.996         34.930         25.571         29.677
          1.698         37.222         28.702         26.415         34.134         24.975         29.031
          1.722         36.357         27.941         25.833         33.337         24.377         28.382
          1.746         35.525         27.210         25.274         32.572         23.802         27.758
          1.771         34.694         26.480         24.715         31.807         23.228         27.134
          1.797         33.865         25.753         24.157         31.044         22.655         26.510
          1.823         33.070         25.056         23.621         30.312         22.107         25.910
          1.851         32.249         24.339         23.068         29.558         21.540         25.291
          1.879         31.464         23.653         22.538         28.836         20.998         24.697
          1.907         30.712         22.996         22.031         28.145         20.480         24.127
          1.937         29.941         22.324         21.510         27.436         19.948         23.541
          1.968         29.179         21.662         20.996         26.737         19.423         22.962
          2.000         28.429         21.010         20.488         26.048         18.905         22.390
          2.033         27.690         20.369         19.989         25.369         18.396         21.827
          2.066         26.985         19.759         19.512         24.722         17.911         21.287
          2.101         26.272         19.143         19.029         24.068         17.420         20.741
          2.138         25.554         18.524         18.542         23.409         16.926         20.190
