      freq (eV)        Lorentz     Gen_Plasma      Bren_Borm    Marachevsky          Drude
          0.511         35.738          0.288         34.569         31.595         14.554
          0.513         35.310          0.289         34.255         31.296         14.393
          0.515         34.889          0.290         33.944         31.001         14.235
          0.518         34.066          0.292         33.335         30.423         13.924
          0.520         33.664          0.293         33.037         30.140         13.772
          0.522         33.248          0.295         32.727         29.847         13.615
          0.524         32.859          0.296         32.436         29.571         13.468
          0.526         32.476          0.297         32.149         29.300         13.323
          0.528         32.099          0.298         31.866         29.032         13.179
          0.530         31.727          0.299         31.586         28.767         13.038
          0.534         31.003          0.301         31.037         28.249         12.762
          0.536         30.649          0.302         30.768         27.995         12.627
          0.537         30.301          0.304         30.502         27.744         12.494
          0.539         29.941          0.305         30.225         27.484         12.356
          0.543         29.273          0.307         29.710         26.999         12.098
          0.545         28.947          0.308         29.457         26.761         11.973
          0.547         28.626          0.309         29.207         26.526         11.848
          0.549         28.311          0.310         28.961         26.294         11.726
          0.553         27.679          0.313         28.463         25.828         11.480
          0.555         27.379          0.314         28.226         25.605         11.363
          0.557         27.084          0.315         27.991         25.384         11.247
          0.559         26.793          0.316         27.759         25.167         11.132
          0.562         26.227          0.318         27.302         24.740         10.909
          0.564         25.950          0.319         27.078         24.531         10.799
          0.566         25.678          0.321         26.857         24.324         10.691
          0.570         25.133          0.323         26.411         23.907         10.473
          0.572         24.874          0.324         26.197         23.708         10.369
          0.576         24.369          0.326         25.777         23.317         10.165
          0.578         24.123          0.327         25.571         23.125         10.066
          0.580         23.881          0.329         25.367         22.935          9.967
          0.584         23.395          0.331         24.955         22.553          9.769
          0.585         23.165          0.332         24.758         22.370          9.674
          0.589         22.715          0.334         24.370         22.010          9.488
          0.591         22.495          0.336         24.180         21.834          9.397
          0.595         22.067          0.338         23.805         21.487          9.218
          0.597         21.847          0.339         23.611         21.307          9.126
          0.601         21.439          0.341         23.249         20.973          8.954
          0.603         21.241          0.342         23.070         20.808          8.870
          0.606         20.853          0.345         22.720         20.485          8.704
          0.608         20.663          0.346         22.547         20.326          8.623
          0.612         20.294          0.348         22.208         20.013          8.464
          0.614         20.104          0.349         22.032         19.851          8.381
          0.618         19.753          0.352         21.703         19.549          8.228
          0.620         19.572          0.353         21.533         19.393          8.149
          0.623         19.299          0.355         21.273         19.154          8.028
          0.626         19.024          0.357         21.009         18.913          7.905
          0.629         18.757          0.359         20.750         18.675          7.785
          0.633         18.497          0.361         20.495         18.442          7.668
          0.636         18.244          0.363         20.244         18.213          7.553
          0.639         17.990          0.365         19.990         17.981          7.437
          0.642         17.744          0.367         19.741         17.754          7.323
          0.646         17.504          0.369         19.496         17.531          7.211
          0.649         17.264          0.371         19.248         17.305          7.099
          0.652         17.032          0.373         19.004         17.084          6.988
          0.656         16.799          0.375         18.758         16.860          6.877
          0.659         16.574          0.377         18.516         16.640          6.768
          0.663         16.355          0.379         18.278         16.425          6.662
          0.667         16.137          0.381         18.038         16.208          6.554
          0.670         15.925          0.384         17.802         15.994          6.450
          0.674         15.720          0.386         17.570         15.785          6.347
          0.677         15.516          0.388         17.337         15.574          6.243
          0.681         15.319          0.390         17.107         15.368          6.142
          0.685         15.122          0.393         16.876         15.159          6.041
          0.689         14.932          0.395         16.649         14.955          5.941
          0.693         14.749          0.397         16.426         14.755          5.844
          0.697         14.566          0.400         16.201         14.554          5.747
          0.701         14.385          0.402         15.976         14.351          5.649
          0.705         14.210          0.405         15.754         14.153          5.553
          0.709         14.040          0.407         15.536         13.958          5.460
          0.713         13.872          0.410         15.318         13.763          5.366
          0.717         13.710          0.412         15.103         13.572          5.275
          0.721         13.552          0.415         14.892         13.384          5.185
          0.725         13.393          0.418         14.676         13.191          5.094
          0.729         13.241          0.420         14.468         13.007          5.006
          0.734         13.091          0.423         14.260         12.822          4.919
          0.738         12.942          0.426         14.051         12.636          4.831
          0.742         12.796          0.429         13.846         12.454          4.746
          0.747         12.652          0.431         13.640         12.273          4.661
          0.751         12.510          0.434         13.439         12.094          4.578
          0.756         12.369          0.437         13.237         11.916          4.495
          0.761         12.231          0.440         13.039         11.742          4.414
          0.765         12.092          0.443         12.841         11.567          4.333
          0.770         11.952          0.446         12.643         11.392          4.252
          0.775         11.814          0.449         12.449         11.222          4.174
          0.780         11.674          0.452         12.254         11.051          4.096
          0.785         11.536          0.455         12.064         10.884          4.020
          0.790         11.395          0.459         11.874         10.717          3.944
          0.795         11.251          0.462         11.684         10.551          3.868
          0.800         11.107          0.465         11.498         10.388          3.795
          0.805         10.959          0.469         11.312         10.225          3.722
          0.810         10.808          0.472         11.126         10.064          3.649
          0.816         10.656          0.475         10.945          9.905          3.579
          0.821         10.500          0.479         10.764          9.748          3.509
          0.827         10.339          0.483         10.583          9.591          3.439
          0.832         10.177          0.486         10.407          9.437          3.371
          0.838         10.011          0.490         10.231          9.284          3.304
          0.843          9.840          0.494         10.056          9.132          3.238
          0.849          9.666          0.497          9.882          8.981          3.172
          0.855          9.487          0.501          9.708          8.830          3.107
          0.861          9.308          0.505          9.538          8.683          3.043
          0.867          9.126          0.509          9.370          8.537          2.981
          0.918          7.618          0.544          8.068          7.413          2.508
          0.925          7.430          0.548          7.910          7.277          2.452
          0.932          7.246          0.553          7.757          7.145          2.398
          0.939          7.062          0.558          7.603          7.012          2.344
          0.946          6.884          0.563          7.452          6.882          2.292
          0.954          6.705          0.568          7.301          6.752          2.240
          0.961          6.531          0.573          7.152          6.624          2.188
          0.969          6.360          0.578          7.005          6.497          2.138
          0.976          6.191          0.583          6.857          6.370          2.088
          0.984          6.028          0.589          6.713          6.245          2.039
          0.992          5.867          0.594          6.569          6.121          1.991
          1.000          5.710          0.600          6.427          5.999          1.943
          1.008          5.559          0.606          6.287          5.878          1.897
          1.016          5.415          0.611          6.153          5.762          1.853
          1.025          5.260          0.618          6.005          5.634          1.804
          1.033          5.128          0.624          5.878          5.524          1.763
          1.042          4.987          0.630          5.738          5.403          1.717
          1.051          4.852          0.637          5.603          5.285          1.674
          1.060          4.723          0.643          5.471          5.170          1.631
          1.069          4.600          0.650          5.343          5.058          1.591
          1.078          4.482          0.656          5.218          4.950          1.551
          1.088          4.358          0.664          5.084          4.832          1.509
          1.097          4.252          0.670          4.966          4.729          1.472
          1.107          4.139          0.678          4.839          4.618          1.432
          1.117          4.032          0.685          4.716          4.509          1.394
          1.127          3.930          0.693          4.597          4.404          1.357
          1.137          3.832          0.701          4.481          4.301          1.322
          1.148          3.731          0.709          4.357          4.192          1.284
          1.159          3.635          0.717          4.238          4.085          1.248
          1.170          3.543          0.726          4.122          3.982          1.213
          1.181          3.456          0.735          4.011          3.881          1.180
          1.192          3.374          0.743          3.902          3.784          1.147
          1.204          3.289          0.753          3.788          3.681          1.113
          1.216          3.208          0.762          3.678          3.580          1.081
          1.228          3.132          0.772          3.572          3.483          1.049
          1.240          3.060          0.782          3.469          3.389          1.019
          1.252          2.991          0.791          3.370          3.298          0.990
          1.265          2.921          0.802          3.267          3.201          0.960
          1.278          2.855          0.813          3.167          3.108          0.931
          1.291          2.792          0.824          3.071          3.018          0.903
          1.305          2.728          0.836          2.972          2.925          0.874
          1.319          2.669          0.848          2.877          2.834          0.847
          1.333          2.612          0.860          2.785          2.746          0.820
          1.348          2.556          0.873          2.692          2.655          0.793
          1.362          2.506          0.885          2.608          2.574          0.769
          1.378          2.453          0.899          2.516          2.484          0.743
          1.393          2.406          0.913          2.435          2.402          0.719
          1.409          2.360          0.928          2.351          2.319          0.695
          1.425          2.317          0.942          2.272          2.239          0.672
          1.442          2.274          0.958          2.192          2.157          0.648
